case,time_s,probe,x,y,u,v,speed
single,0.00000000,Q1,2.0,0.0,0.0003256551167,1.405736314e-06,0.0003256581507
single,0.00000000,Q2,4.0,0.75,0.0003204570773,1.025491701e-06,0.0003204587181
single,0.00000000,Q3,6.0,-0.75,0.0003201546431,1.842584952e-07,0.0003201546961
single,0.00000000,Q4,8.0,0.0,0.0003199751527,1.240041634e-07,0.0003199751767
single,0.00000000,Q5,10.0,1.0,0.0003199300988,5.463158323e-08,0.0003199301034
single,0.00000000,Q6,12.0,-1.0,0.0003199590387,2.332992343e-08,0.0003199590395
single,0.05000000,Q1,2.0,0.0,0.009379147339,-3.150378499e-06,0.009379147868
single,0.05000000,Q2,4.0,0.75,0.009885692724,-4.875962709e-05,0.009885812973
single,0.05000000,Q3,6.0,-0.75,0.009935653635,8.174963709e-06,0.009935656998
single,0.05000000,Q4,8.0,0.0,0.009945503582,-2.474838215e-07,0.009945503585
single,0.05000000,Q5,10.0,1.0,0.009948275299,-5.791654506e-07,0.009948275316
single,0.05000000,Q6,12.0,-1.0,0.009948581634,4.733027838e-08,0.009948581634
single,0.10000000,Q1,2.0,0.0,0.0186366121,-6.310479046e-06,0.01863661317
single,0.10000000,Q2,4.0,0.75,0.01966974446,-9.946343581e-05,0.01966999594
single,0.10000000,Q3,6.0,-0.75,0.01977166212,1.668017686e-05,0.01977166915
single,0.10000000,Q4,8.0,0.0,0.01979175472,-5.033629923e-07,0.01979175473
single,0.10000000,Q5,10.0,1.0,0.01979740864,-1.181004698e-06,0.01979740868
single,0.10000000,Q6,12.0,-1.0,0.01979803383,9.681051959e-08,0.01979803383
single,0.15000000,Q1,2.0,0.0,0.02778826441,-9.665490694e-06,0.02778826609
single,0.15000000,Q2,4.0,0.75,0.02935681737,-0.0001510252853,0.02935720584
single,0.15000000,Q3,6.0,-0.75,0.02951151987,2.531332139e-05,0.02951153072
single,0.15000000,Q4,8.0,0.0,0.02954202941,-7.697927933e-07,0.02954202942
single,0.15000000,Q5,10.0,1.0,0.02955061415,-1.795416429e-06,0.0295506142
single,0.15000000,Q6,12.0,-1.0,0.02955156185,1.459210251e-07,0.02955156185
single,0.20000000,Q1,2.0,0.0,0.03683925294,-1.319901735e-05,0.03683925531
single,0.20000000,Q2,4.0,0.75,0.03894887057,-0.0002031323955,0.03894940028
single,0.20000000,Q3,6.0,-0.75,0.03915686487,3.401749845e-05,0.03915687965
single,0.20000000,Q4,8.0,0.0,0.03919790323,-1.047170986e-06,0.03919790325
single,0.20000000,Q5,10.0,1.0,0.03920944988,-2.419495895e-06,0.03920944995
single,0.20000000,Q6,12.0,-1.0,0.03921072128,1.939731807e-07,0.03921072129
single,0.25000000,Q1,2.0,0.0,0.04578382455,-1.665841224e-05,0.04578382758
single,0.25000000,Q2,4.0,0.75,0.04844058773,-0.0002558227151,0.04844126325
single,0.25000000,Q3,6.0,-0.75,0.04870245732,4.281114092e-05,0.04870247614
single,0.25000000,Q4,8.0,0.0,0.04875414193,-1.330535171e-06,0.04875414195
single,0.25000000,Q5,10.0,1.0,0.04876868333,-3.051682552e-06,0.04876868342
single,0.25000000,Q6,12.0,-1.0,0.04877028121,2.41978732e-07,0.04877028121
single,0.30000000,Q1,2.0,0.0,0.05462768685,-2.01444317e-05,0.05462769057
single,0.30000000,Q2,4.0,0.75,0.05783670501,-0.0003090106244,0.0578375305
single,0.30000000,Q3,6.0,-0.75,0.05815291353,5.16670785e-05,0.05815293648
single,0.30000000,Q4,8.0,0.0,0.05821534411,-1.624156869e-06,0.05821534414
single,0.30000000,Q5,10.0,1.0,0.05823290823,-3.692758057e-06,0.05823290835
single,0.30000000,Q6,12.0,-1.0,0.05823483353,2.889377285e-07,0.05823483353
single,0.35000000,Q1,2.0,0.0,0.0633722455,-2.371592021e-05,0.06337224994
single,0.35000000,Q2,4.0,0.75,0.067138202,-0.000362660461,0.06713918148
single,0.35000000,Q3,6.0,-0.75,0.06750915567,6.057114634e-05,0.06750918284
single,0.35000000,Q4,8.0,0.0,0.06758242443,-1.93088263e-06,0.06758242445
single,0.35000000,Q5,10.0,1.0,0.06760303713,-4.343452375e-06,0.06760303727
single,0.35000000,Q6,12.0,-1.0,0.06760528973,3.342224732e-07,0.06760528973
single,0.40000000,Q1,2.0,0.0,0.07201827008,-2.738437642e-05,0.07201827529
single,0.40000000,Q2,4.0,0.75,0.07634683437,-0.0004168864811,0.07634797255
single,0.40000000,Q3,6.0,-0.75,0.07677301421,6.953097695e-05,0.0767730457
single,0.40000000,Q4,8.0,0.0,0.07685723343,-2.256132423e-06,0.07685723346
single,0.40000000,Q5,10.0,1.0,0.07688092597,-5.00686252e-06,0.07688092613
single,0.40000000,Q6,12.0,-1.0,0.07688350495,3.769235789e-07,0.07688350495
single,0.45000000,Q1,2.0,0.0,0.08056540876,-3.114014562e-05,0.08056541478
single,0.45000000,Q2,4.0,0.75,0.08546205833,-0.0004716648488,0.08546335988
single,0.45000000,Q3,6.0,-0.75,0.0859439337,7.854634738e-05,0.08594396959
single,0.45000000,Q4,8.0,0.0,0.08603921163,-2.598248108e-06,0.08603921167
single,0.45000000,Q5,10.0,1.0,0.08606601418,-5.682145217e-06,0.08606601436
single,0.45000000,Q6,12.0,-1.0,0.08606891893,4.173366989e-07,0.08606891893
single,0.50000000,Q1,2.0,0.0,0.08901366154,-3.498322782e-05,0.08901366842
single,0.50000000,Q2,4.0,0.75,0.09448387387,-0.0005269955639,0.09448534355
single,0.50000000,Q3,6.0,-0.75,0.09502191415,8.761725763e-05,0.09502195454
single,0.50000000,Q4,8.0,0.0,0.09512835903,-2.957229686e-06,0.09512835908
single,0.50000000,Q5,10.0,1.0,0.09515830175,-6.369300465e-06,0.09515830196
single,0.50000000,Q6,12.0,-1.0,0.09516153168,4.554618331e-07,0.09516153168
single,0.55000000,Q1,2.0,0.0,0.09736941713,-3.894472354e-05,0.09736942492
single,0.55000000,Q2,4.0,0.75,0.1034166816,-0.0005827049689,0.1034183233
single,0.55000000,Q3,6.0,-0.75,0.1040111382,9.668944853e-05,0.1040111831
single,0.55000000,Q4,8.0,0.0,0.1041288131,-3.335493837e-06,0.1041288132
single,0.55000000,Q5,10.0,1.0,0.1041619146,-7.067177204e-06,0.1041619148
single,0.55000000,Q6,12.0,-1.0,0.1041654668,4.904135542e-07,0.1041654668
single,0.60000000,Q1,2.0,0.0,0.105631115,-4.301703628e-05,0.1056311238
single,0.60000000,Q2,4.0,0.75,0.1122594068,-0.0006388354809,0.1122612245
single,0.60000000,Q3,6.0,-0.75,0.1129105842,0.0001057761732,0.1129106337
single,0.60000000,Q4,8.0,0.0,0.1130395633,-3.732450274e-06,0.1130395634
single,0.60000000,Q5,10.0,1.0,0.1130758448,-7.776056589e-06,0.1130758451
single,0.60000000,Q6,12.0,-1.0,0.1130797171,5.224081334e-07,0.1130797171
single,0.65000000,Q1,2.0,0.0,0.1137977415,-4.71952308e-05,0.1137977513
single,0.65000000,Q2,4.0,0.75,0.1210113509,-0.0006954146568,0.1210133491
single,0.65000000,Q3,6.0,-0.75,0.1217195884,0.0001148860419,0.1217196426
single,0.65000000,Q4,8.0,0.0,0.121859953,-4.1477155e-06,0.1218599531
single,0.65000000,Q5,10.0,1.0,0.1218994378,-8.496121276e-06,0.1218994381
single,0.65000000,Q6,12.0,-1.0,0.1219036281,5.515860762e-07,0.1219036281
single,0.70000000,Q1,2.0,0.0,0.1218729064,-5.15380835e-05,0.1218729173
single,0.70000000,Q2,4.0,0.75,0.1296758798,-0.0007524076948,0.1296780626
single,0.70000000,Q3,6.0,-0.75,0.1304414502,0.000124004774,0.1304415092
single,0.70000000,Q4,8.0,0.0,0.1305932744,-4.583918829e-06,0.1305932745
single,0.70000000,Q5,10.0,1.0,0.1306359828,-9.227958191e-06,0.1306359831
single,0.70000000,Q6,12.0,-1.0,0.1306404881,5.77312499e-07,0.1306404881
single,0.75000000,Q1,2.0,0.0,0.1298579639,-5.606764493e-05,0.1298579761
single,0.75000000,Q2,4.0,0.75,0.1382542563,-0.0008098015383,0.1382566279
single,0.75000000,Q3,6.0,-0.75,0.1390774074,0.0001331270118,0.1390774711
single,0.75000000,Q4,8.0,0.0,0.1392407626,-5.042046674e-06,0.1392407627
single,0.75000000,Q5,10.0,1.0,0.1392867138,-9.971787527e-06,0.1392867141
single,0.75000000,Q6,12.0,-1.0,0.1392915306,5.993492189e-07,0.1392915306
single,0.80000000,Q1,2.0,0.0,0.1377511123,-6.075457614e-05,0.1377511257
single,0.80000000,Q2,4.0,0.75,0.1467448002,-0.0008676135594,0.146747365
single,0.80000000,Q3,6.0,-0.75,0.147625813,0.0001422598837,0.1476258816
single,0.80000000,Q4,8.0,0.0,0.1478007742,-5.520786582e-06,0.1478007744
single,0.80000000,Q5,10.0,1.0,0.1478499888,-1.072731631e-05,0.1478499892
single,0.80000000,Q6,12.0,-1.0,0.1478551143,6.180131457e-07,0.1478551143
single,0.85000000,Q1,2.0,0.0,0.145554109,-6.565590336e-05,0.1455541238
single,0.85000000,Q2,4.0,0.75,0.1551499045,-0.0009258945637,0.1551526672
single,0.85000000,Q3,6.0,-0.75,0.1560890692,0.0001513960899,0.1560891426
single,0.85000000,Q4,8.0,0.0,0.1562757147,-6.025515619e-06,0.1562757148
single,0.85000000,Q5,10.0,1.0,0.1563282171,-1.149686805e-05,0.1563282176
single,0.85000000,Q6,12.0,-1.0,0.1563336472,6.324012914e-07,0.1563336472
single,0.90000000,Q1,2.0,0.0,0.1532700402,-7.087177492e-05,0.1532700566
single,0.90000000,Q2,4.0,0.75,0.1634737716,-0.0009847337749,0.1634767375
single,0.90000000,Q3,6.0,-0.75,0.1644713944,0.0001605228102,0.1644714727
single,0.90000000,Q4,8.0,0.0,0.164669808,-6.565676885e-06,0.1646698081
single,0.90000000,Q5,10.0,1.0,0.1647256297,-1.228452324e-05,0.1647256301
single,0.90000000,Q6,12.0,-1.0,0.1647313584,6.409278454e-07,0.1647313584
single,0.95000000,Q1,2.0,0.0,0.1608967219,-7.633131485e-05,0.16089674
single,0.95000000,Q2,4.0,0.75,0.1717134275,-0.001044068049,0.1717166016
single,0.95000000,Q3,6.0,-0.75,0.1727698032,0.0001696491175,0.1727698865
single,0.95000000,Q4,8.0,0.0,0.1729800647,-7.134587406e-06,0.1729800649
single,0.95000000,Q5,10.0,1.0,0.1730392321,-1.308739407e-05,0.1730392326
single,0.95000000,Q6,12.0,-1.0,0.173045255,6.447151016e-07,0.173045255
single,1.00000000,Q1,2.0,0.0,0.1684341539,-8.203452317e-05,0.1684341739
single,1.00000000,Q2,4.0,0.75,0.1798688722,-0.001103897385,0.1798722596
single,1.00000000,Q3,6.0,-0.75,0.1809842956,0.0001787750118,0.1809843839
single,1.00000000,Q4,8.0,0.0,0.1812064849,-7.732247182e-06,0.1812064851
single,1.00000000,Q5,10.0,1.0,0.1812690245,-1.390548054e-05,0.1812690251
single,1.00000000,Q6,12.0,-1.0,0.181275337,6.437630597e-07,0.181275337
single,1.05000000,Q1,2.0,0.0,0.1758823363,-8.798139985e-05,0.1758823583
single,1.05000000,Q2,4.0,0.75,0.1879401056,-0.001164221783,0.1879437115
single,1.05000000,Q3,6.0,-0.75,0.1891148715,0.0001879004932,0.1891149649
single,1.05000000,Q4,8.0,0.0,0.1893490685,-8.358656211e-06,0.1893490687
single,1.05000000,Q5,10.0,1.0,0.1894150069,-1.473878266e-05,0.1894150075
single,1.05000000,Q6,12.0,-1.0,0.1894216043,6.380717199e-07,0.1894216043
single,1.10000000,Q1,2.0,0.0,0.183241269,-9.417194492e-05,0.1832412932
single,1.10000000,Q2,4.0,0.75,0.1959271277,-0.001225041244,0.1959309575
single,1.10000000,Q3,6.0,-0.75,0.197161531,0.0001970255616,0.1971616295
single,1.10000000,Q4,8.0,0.0,0.1974078155,-9.013814495e-06,0.1974078157
single,1.10000000,Q5,10.0,1.0,0.1974771792,-1.558730042e-05,0.1974771798
single,1.10000000,Q6,12.0,-1.0,0.197484057,6.276410822e-07,0.197484057
single,1.15000000,Q1,2.0,0.0,0.1905109522,-0.0001006061584,0.1905109787
single,1.15000000,Q2,4.0,0.75,0.2038299386,-0.001286355767,0.2038339976
single,1.15000000,Q3,6.0,-0.75,0.2051242741,0.0002061502169,0.2051243777
single,1.15000000,Q4,8.0,0.0,0.205382726,-9.697722034e-06,0.2053827262
single,1.15000000,Q5,10.0,1.0,0.2054555414,-1.645103383e-05,0.205455542
single,1.15000000,Q6,12.0,-1.0,0.205462695,6.124711465e-07,0.205462695
single,1.20000000,Q1,2.0,0.0,0.1977027534,-0.0001075579133,0.1977027827
single,1.20000000,Q2,4.0,0.75,0.211663207,-0.001348372254,0.2116675018
single,1.20000000,Q3,6.0,-0.75,0.2130178114,0.0002152544836,0.2130179202
single,1.20000000,Q4,8.0,0.0,0.2132885638,-1.042661171e-05,0.2132885641
single,1.20000000,Q5,10.0,1.0,0.2133648498,-1.733953165e-05,0.2133648505
single,1.20000000,Q6,12.0,-1.0,0.2133722699,5.888075351e-07,0.2133722699
single,1.25000000,Q1,2.0,0.0,0.2048096855,-0.0001148588708,0.2048097177
single,1.25000000,Q2,4.0,0.75,0.2194179167,-0.001410963532,0.2194224533
single,1.25000000,Q3,6.0,-0.75,0.2208331009,0.0002243506399,0.2208332148
single,1.25000000,Q4,8.0,0.0,0.2211162542,-1.119050582e-05,0.2211162545
single,1.25000000,Q5,10.0,1.0,0.2211960345,-1.824692466e-05,0.2211960352
single,1.25000000,Q6,12.0,-1.0,0.2212037146,5.589579129e-07,0.2212037146
single,1.30000000,Q1,2.0,0.0,0.2118307633,-0.0001224852981,0.2118307987
single,1.30000000,Q2,4.0,0.75,0.2270927965,-0.00147411167,0.2270975809
single,1.30000000,Q3,6.0,-0.75,0.2285688677,0.0002334404167,0.2285689869
single,1.30000000,Q4,8.0,0.0,0.2288645177,-1.198799768e-05,0.228864518
single,1.30000000,Q5,10.0,1.0,0.2289478165,-1.917238536e-05,0.2289478173
single,1.30000000,Q6,12.0,-1.0,0.2289557506,5.23247623e-07,0.2289557506
single,1.35000000,Q1,2.0,0.0,0.2187659868,-0.0001304371951,0.2187660257
single,1.35000000,Q2,4.0,0.75,0.2346878464,-0.001537816668,0.2346928847
single,1.35000000,Q3,6.0,-0.75,0.236225112,0.0002425238141,0.2362252365
single,1.35000000,Q4,8.0,0.0,0.2365333544,-1.281908728e-05,0.2365333548
single,1.35000000,Q5,10.0,1.0,0.2366201959,-2.011591378e-05,0.2366201968
single,1.35000000,Q6,12.0,-1.0,0.2366283781,4.816766652e-07,0.2366283781
single,1.40000000,Q1,2.0,0.0,0.2256153561,-0.0001387145617,0.2256153987
single,1.40000000,Q2,4.0,0.75,0.2422030663,-0.001602078527,0.2422083648
single,1.40000000,Q3,6.0,-0.75,0.2438018336,0.0002516008322,0.2438019634
single,1.40000000,Q4,8.0,0.0,0.2441227643,-1.368377462e-05,0.2441227647
single,1.40000000,Q5,10.0,1.0,0.2442131727,-2.107750989e-05,0.2442131737
single,1.40000000,Q6,12.0,-1.0,0.2442215969,4.342450397e-07,0.2442215969
single,1.45000000,Q1,2.0,0.0,0.2323788711,-0.0001473173981,0.2323789178
single,1.45000000,Q2,4.0,0.75,0.2496384563,-0.001666897247,0.2496440214
single,1.45000000,Q3,6.0,-0.75,0.2512990326,0.0002606714708,0.2512991678
single,1.45000000,Q4,8.0,0.0,0.2516327474,-1.458205972e-05,0.2516327478
single,1.45000000,Q5,10.0,1.0,0.251726747,-2.205717372e-05,0.251726748
single,1.45000000,Q6,12.0,-1.0,0.2517354072,3.809527464e-07,0.2517354072
single,1.50000000,Q1,2.0,0.0,0.2390603849,-0.0001563721159,0.2390604361
single,1.50000000,Q2,4.0,0.75,0.257001584,-0.001732504223,0.2570074236
single,1.50000000,Q3,6.0,-0.75,0.2587244048,0.000269740921,0.2587245454
single,1.50000000,Q4,8.0,0.0,0.2590710222,-1.552715969e-05,0.2590710227
single,1.50000000,Q5,10.0,1.0,0.2591686564,-2.306146138e-05,0.2591686575
single,1.50000000,Q6,12.0,-1.0,0.2591775452,3.199696132e-07,0.2591775452
single,1.55000000,Q1,2.0,0.0,0.2456625446,-0.000165965552,0.2456626006
single,1.55000000,Q2,4.0,0.75,0.2642976479,-0.00179905841,0.2643037708
single,1.55000000,Q3,6.0,-0.75,0.2660832366,0.0002788127487,0.2660833827
single,1.55000000,Q4,8.0,0.0,0.2664428912,-1.65281539e-05,0.2664428917
single,1.55000000,Q5,10.0,1.0,0.2665442165,-2.409487653e-05,0.2665442176
single,1.55000000,Q6,12.0,-1.0,0.2665533255,2.500384273e-07,0.2665533255
single,1.60000000,Q1,2.0,0.0,0.252181327,-0.0001759657244,0.2521813884
single,1.60000000,Q2,4.0,0.75,0.2715187468,-0.001866318215,0.2715251609
single,1.60000000,Q3,6.0,-0.75,0.2733674932,0.000287881534,0.2733676448
single,1.60000000,Q4,8.0,0.0,0.2737402954,-1.757124278e-05,0.273740296
single,1.60000000,Q5,10.0,1.0,0.2738453483,-2.515057414e-05,0.2738453495
single,1.60000000,Q6,12.0,-1.0,0.2738546707,1.730700073e-07,0.2738546707
single,1.65000000,Q1,2.0,0.0,0.2586167322,-0.0001863726331,0.2586167994
single,1.65000000,Q2,4.0,0.75,0.2786648808,-0.001934283638,0.2786715939
single,1.65000000,Q3,6.0,-0.75,0.2805771745,0.0002969472771,0.2805773317
single,1.65000000,Q4,8.0,0.0,0.2809632349,-1.865642634e-05,0.2809632355
single,1.65000000,Q5,10.0,1.0,0.281072052,-2.622855422e-05,0.2810720532
single,1.65000000,Q6,12.0,-1.0,0.2810815808,8.906435321e-08,0.2810815808
single,1.70000000,Q1,2.0,0.0,0.2649687602,-0.000197186278,0.2649688336
single,1.70000000,Q2,4.0,0.75,0.2857360499,-0.00200295468,0.28574307
single,1.70000000,Q3,6.0,-0.75,0.2877122806,0.000306009978,0.2877124434
single,1.70000000,Q4,8.0,0.0,0.2881117097,-1.978370456e-05,0.2881117104
single,1.70000000,Q5,10.0,1.0,0.2882243275,-2.732881675e-05,0.2882243288
single,1.70000000,Q6,12.0,-1.0,0.2882340558,-1.978534909e-09,0.2882340558
single,1.75000000,Q1,2.0,0.0,0.2712374111,-0.0002084066592,0.2712374911
single,1.75000000,Q2,4.0,0.75,0.2927322541,-0.002072331341,0.2927395893
single,1.75000000,Q3,6.0,-0.75,0.2947728115,0.0003150696365,0.2947729799
single,1.75000000,Q4,8.0,0.0,0.2951857198,-2.095307747e-05,0.2951857205
single,1.75000000,Q5,10.0,1.0,0.2953021748,-2.845136174e-05,0.2953021762
