case,probe,x,y,stable_window,dominant_frequency_hz,dominant_amplitude_v,high_frequency_energy_ratio
single,Q1,2.0,0.0,20.0-80.0,0.16652789342215768,0.3909408479481341,0.0005590917494663452
single,Q2,4.0,0.75,20.0-80.0,0.16652789342215768,0.3216884267206383,0.012243520116011196
single,Q3,6.0,-0.75,20.0-80.0,0.16652789342215768,0.33670200643112286,0.010130721934927955
single,Q4,8.0,0.0,20.0-80.0,0.16652789342215768,0.3763081673108865,0.005387899567527173
single,Q5,10.0,1.0,20.0-80.0,0.16652789342215768,0.27107230313583475,0.006510753885650842
single,Q6,12.0,-1.0,20.0-80.0,0.16652789342215768,0.24613929397801598,0.004352364896705597
three,Q1,4.0,0.0,20.0-80.0,0.1998334721065892,0.5213368526372741,0.0012106204669824045
three,Q2,6.0,1.0,20.0-80.0,0.1998334721065892,0.30762162787512054,0.024159015423352373
three,Q3,8.0,-1.0,20.0-80.0,0.18318068276437344,0.25844690225707173,0.012213842762889341
three,Q4,10.0,0.5,20.0-80.0,0.18318068276437344,0.3161214925204791,0.0029277927376999847
three,Q5,12.0,-0.5,20.0-80.0,0.18318068276437344,0.2693558237684527,0.0059549816462595865
three,Q6,14.0,0.0,20.0-80.0,0.16652789342215768,0.26630486076253324,0.003952251255690742
